,position,company,city,compensation_min,compensation_max,compensation_currency
76,Data Scientist (FinTech),"ПАО «МТС»,IT",Москва,,,
77,Junior / Middle Data Analyst," FOZZY GROUP, Корпорация",Киев,,,
78,Big Data Engineer, Saber Interactive,Санкт-Петербург,,,
79,Специалист Oracle PL/SQL,ООО ГЕТСИЭРЭМ,"Москва, Римская и еще 1 ",160000.0,200000.0,RUB
80,Applied Data Scientist (Innovation), T-Systems RUS,"Санкт-Петербург, Василеостровская",,,
81,Ведущий Аналитик / Lead Analyst, Photo Lab,"Москва, Тверская и еще 2 ",,,
82,Data Scientist / Специалист машинного обучения, Инфосистемы Джет,Москва,,,
83,Data Engineer - Офис," АШАН, Сеть Гипермаркетов","Москва, Красносельская",,,
84,Начинающий специалист по Data Scientist (аналитик больших данных), 1C-Рарус,"Новосибирск, Маршала Покрышкина",25000.0,,RUB
85,Data Engineer, ЦИАН ГРУПП,"Москва, Преображенская площадь",,,
86,Data Scientist, Segmento,"Санкт-Петербург, Василеостровская",,,
87,Аналитик данных," Командор, сеть супермаркетов",Красноярск,50000.0,,RUB
88,Senior Data scientist, ANCOR FinTech,Нижний Новгород,,,
89,Deep Learning Scientist (Neural NLP/TTS/ASR),АО РБ Текнолоджи,"Москва, Парк культуры",,,
90,Data Scientist/Программист Computer Vision, Ай-Теко (I-Teco),Москва,,,
91,Data Scientist в Корпоративно-Инвестиционный Блок Банка, Сбербанк для экспертов,"Москва, Кутузовская и еще 1 ",,,
92,Junior Data Scientist, Туту.ру,Москва,,,
93,Data Scientist, Persona.ly,Новосибирск,,,
94,Старший аналитик (машинное обучение)/Team Lead Data scientist, Ингосстрах,"Москва, Улица 1905 года",,,
95,Аналитик (Big Data), Платформа ОФД,"Москва, Спортивная и еще 1 ",,,
96,Data Scientist (клиентская аналитика),"ПАО МегаФон, IT",Екатеринбург,,,
97,MIDDLE DATA SCIENTIST, Сбербанк для экспертов,Москва,,,
98,Data Scientist, Сбербанк для экспертов,"Москва, Кутузовская и еще 1 ",,,
99,Data scientist (Нижний Новгород), ANCOR FinTech,Челябинск,,,
100,Senior Data Scientist (Python), Nielsen,"Москва, Тушинская",,,
101,Data Scientist,ООО ЭдСервер,"Санкт-Петербург, Петроградская",,,
102,Data Scientist (Big Data),"ПАО «МТС»,IT","Москва, Технопарк",,,
103,Исследователь пользователей в команду Big Data, QIWI,"Москва, Чертановская",,,
104,Data Scientist (Analyst), ГБУ МО МОМИАЦ,"Москва, Мякинино",,,
105,Data scientist (Нижний Новгород), ANCOR FinTech,Ульяновск,,,
106,Аналитик данных / Data scientist," Унистрой, Управляющая компания",Казань,,,
107,ML Engineer / Data Scientist, Правовед.RU,"Санкт-Петербург, Московские ворота",,,
108,Data scientist, Сибирская генерирующая Компания УК,Москва,,,
109,Senior Data scientist (Нижний Новгород), ANCOR FinTech,Казань,,,
110,Data scientist (Нижний Новгород), ANCOR FinTech,Пермь,,,
111,Data Scientist (специалист по анализу данных),ООО Shortest Track,Новосибирск,30000.0,120000.0,RUB
112,Senior Data scientist (Нижний Новгород), ANCOR FinTech,Владимир,,,
113,Data Scientist, Talents In Games,Минск,,,
114,Senior Data Scientist, Сбербанк для экспертов,Москва,,,
115,Senior Data scientist (Нижний Новгород), ANCOR FinTech,Самара,,,
116,Руководитель направления/бизнес-аналитик (Data scientist),АО ДОМ.РФ,"Москва, Арбатская",,,
117,Senior Data scientist (Нижний Новгород), ANCOR FinTech,Екатеринбург,,,
118,Team-Lead/Senior data scientist,"ПАО МегаФон, Офис",Москва,,,
119,Data scientist - аналитик данных (CRM),ПАО БАНК УРАЛСИБ,Москва,,,
120,Data Scientist/Algorithms engineer, Antal Russia,"Москва, Выставочная",,,
121,Middle data scientist на Диалоговые системы, Тинькофф,"Москва, Водный стадион",,,
122,MIDDLE DATA SCIENTIST (NLP/NER), Сбербанк для экспертов,Москва,,,
123,Senior Data Scientist (рекомендательные системы), Тинькофф,"Москва, Водный стадион",,,
124,Специалист по машинному обучению (Data scientist),ООО РН-БашНИПИнефть,Уфа,,,
125,Data Scientist, Wisebits,Санкт-Петербург,,,
126,Data Scientist (Predictive Analytic Solutions)," Mail.Ru Group, Другое","Москва, Аэропорт",,,
127,Data Scientist (отдел противодействия мошенничеству), Эквифакс Кредит Сервисиз,"Москва, Комсомольская",,,
128,Data scientist (Нижний Новгород), ANCOR FinTech,Санкт-Петербург,,,
129,Senior Big Data Engineer," Лента, федеральная розничная сеть, Офис",Санкт-Петербург,,,
130,Python Developer / Data Scientist,ООО КГ Эвентус,Самара,,,
131,Data Scientist, Wisebits,Москва,,,
132,Data Scientist, Deloitte,Минск,,,
133,Senior Data Scientist [15961], ПАО «Газпром нефть»,Санкт-Петербург,,,
134,Senior Data scientist/Python, МИА Россия сегодня,"Москва, Парк культуры и еще 1 ",,,
135,NodeJS developer (to work side by side with data scientists), InsightWhale,Саратов,50000.0,120000.0,RUB
136,Data Scientist at Sberbank Corporate, Сбербанк для экспертов,"Москва, Кутузовская и еще 1 ",,,
137,Data Scientist, Wisebits,Кипр,,,
138,Middle Data Scientist в Дивизион Особенные Решения, Сбербанк для экспертов,Москва,,,
139,Data Scientist (Middle/Senior) - моделирование кредитных рисков корпоративных клиентов (Блок Риски), Сбербанк для экспертов,Москва,,,
140,Scientist (Philips Skolkovo Lab), PHILIPS. Здравоохранение,Москва,,,
141,Data scientist в стартап,ООО Mind&Machine,Москва,,,
142,Senior Data Scientist (голосовой ассистент), Тинькофф,"Москва, Водный стадион",,,
143,Middle ML Engineer / Data Scientist,ООО Арснова,Минск,,,
144,Team Lead Data Scientist в Дивизион Особенные Решения, Сбербанк для экспертов,Москва,,,
145,"Главный специалист направления операционной отчетности (Аналитик SQL, Data Scientist)"," «Почта России», Офис","Москва, Нагатинская и еще 1 ",,,
146,Front-end разработчик → Data scientist, InsightWhale,Ульяновск,60000.0,120000.0,RUB
147,"AI Developer [Computer Vision, Machine Learning, Algorithms]", Coleman Services,Москва,,,
148,Machine learning specialist. Data scientist . Application APP IN THE AIR,ООО Ренессанс Девелопмент,Москва,,,
149,Data Science Team Lead (Сегмента Авто), ПАО «Газпром нефть»,Санкт-Петербург,,,
150,NodeJS developer (to work side by side with data scientists), InsightWhale,Ульяновск,50000.0,120000.0,RUB
151,Data Science Team Lead (Сегмент Коммерческий транспорт и мелкий опт), ПАО «Газпром нефть»,Санкт-Петербург,,,
152,Senior Data Scientist in Oil & Gas,ООО Инжиниринговый Центр МФТИ по трудноизвлекаемым полезным ископаемым,Долгопрудный,,,
153,NodeJS developer (to work side by side with data scientists), InsightWhale,Омск,50000.0,120000.0,RUB
154,"Senior Data Scientist в Дивизион ""Особенные Решения""", Сбербанк для экспертов,Москва,,,
155,"Lead Product Manager, Machine Learning", Wrike,Москва,,,
156,Research – аналитик в Департамент стратегии в банк, Recruitment Boutique S.M.Art,Москва,,,
157,Lead Data Scientist," EPAM Systems, Inc.",Санкт-Петербург,,,
158,Research-аналитик в Департамент стратегии, Сбербанк для экспертов,Москва,,,
159,Research Team Lead/ Project manager in PR Data Scientist Team, SEMrush,"Санкт-Петербург, Московские ворота",,,
160,"Lead Product Manager, Machine Learning", Wrike,"Санкт-Петербург, Площадь Ленина",,,
161,Руководитель команды Data Science (Predictive Analytic Solutions)," Mail.Ru Group, Другое","Москва, Аэропорт",,,
162,Big Data Engineer,ООО Taurus Technologies,Москва,,,
163,Data scientist / Machine Learning Engineer,ООО Moneyveo,Киев,,,
164,Data scientist,ООО StarOfService,Киев,,,
165,Data scientist,ООО StarOfService,Минск,,,
166,Analyst / Специалист по обработке и анализу данных,"ООО ДІНЕРО, ФК","Киев, Вокзальная",,,
167,Data Reporting Analyst, VisiQuate,Харьков,,,
168,Data Scientist, Бизнес Кванты,Минск,,,
169,Старший Frontend-разработчик,ООО Цифроматика,"Санкт-Петербург, Площадь Восстания",200000.0,,RUB
170,Product Manager, Леруа Мерлен. Центральный офис,Москва,,,
171,HR Generalist,ООО МФК Займ Онлайн,"Москва, Динамо и еще 1 ",,,
172,Senior Software Engineer (.NET stack),ООО IHS Global,"Минск, Немига",,,
173,Аналитик (Супермаркет данных), Сбербанк для экспертов,Москва,,,
174,Investigator - Financial Markets Manipulations, Inca Digital Securities,Санкт-Петербург,,,
175,ML-engineer, Сбербанк для экспертов,Санкт-Петербург,,,
176,Инженер данных, Сибур,Москва,,,
177,Consultant\Senior Consultant (Python Developer)," PwC, Департамент бизнес-консультирования","Санкт-Петербург, Адмиралтейская",,,
178,QA Java automation engineer, Provectus,Казань,,,
179,Senior R&D Engineer, Synopsys,"Санкт-Петербург, Петроградская",,,
180,Аналитик по работе с клиентами (pre-sale менеджер)," Megaputer Intelligence, Компания",Москва,,,
181,Medical Science Manager (North-West region), Bristol-Myers Squibb,Санкт-Петербург,,,
182,Исполнительный директор Аналитического центра рисков, Сбербанк для руководителей,Москва,,,
183,Backend developer (Аналитическая платформа), Туту.ру,"Москва, Нагатинская",150000.0,,RUB
184,"C++ Programmer (Software Developer (H1B, USA))", Ariadne Genomics Inc.,США,,,
185,"Python Developer (H1B,USA)", Ariadne Genomics Inc.,США,,,
186,Руководитель аналитического направления," Командор, сеть супермаркетов",Красноярск,80000.0,,RUB
187,Руководитель направления PNL в Дивизион Особенные Решения Блок Розничный Бизнес), Сбербанк для экспертов,Москва,,,
