,position,company,city,compensation_min,compensation_max,compensation_currency
78,"Стажер/Специалист (Data Scientist, Группа улучшения бизнес-технологии и ИТ)", EY (Эрнст энд Янг),"Москва, Павелецкая",,,
79,ML-инженер / Data Scientist, Интерсвязь,Челябинск,35000.0,80000.0,RUB
80,Аналитик SQL / Data Scientist, АльфаСтрахование,"Москва, Шаболовская",,,
81,Data Scientist, OZON.ru Разработка,Москва,,,
82,Data Scientist/Математик-программист, Ай-Теко (I-Teco),Москва,,,
83,Data Scientist (gamedev), Panoramik,"Санкт-Петербург, Василеостровская и еще 1 ",,,
84,Эксперт аналитического центра / Data scientist, Сибирская генерирующая Компания УК,Новосибирск,100000.0,,RUB
85,Специалист по обработке и анализу данных (Data Scientist), ELMA,Киров,100000.0,,RUB
86,Junior Data scientist (Департамент внутреннего аудита)," «РОСБАНК, Societe Generale Group», с опытом работы","Москва, Комсомольская и еще 2 ",,,
87,Специалист по машинному обучению / Data Scientist (FinTech), Университет ИТМО,"Санкт-Петербург, Василеостровская",75000.0,,RUB
88,Data scientist, КОМПЛИТ,"Санкт-Петербург, Старая Деревня",,,
89,Data scientist (SAS), Сбербанк для экспертов,Москва,,,
90,Senior/Middle Data Scientist,"АО Ренессанс здоровье, Страховая компания","Москва, Пролетарская",,,
91,Аналитик данных (Data Scientist),ООО Форпост,Москва,,,
92,Senior Data Scientist в NLP лабораторию СКБ Контур, СКБ Контур,Екатеринбург,,,
93,Разработчик-исследователь в области искусственного интеллекта / Data Scientist, Университет ИТМО,"Санкт-Петербург, Василеостровская",80000.0,,RUB
94,Data Scientist / Machine Learning Developer, Peller.Tech Inc,Москва,,,
95,Data Scientist (Middle), Сбербанк для экспертов,Екатеринбург,,,
96,Data Scientist,АО Рамакс Интернейшнл,"Москва, Павелецкая и еще 2 ",,,
97,Data Analyst / Scientist, Genesis,Киев,,,
98,Python Data Scientist, Neuro.net,Нижний Новгород,100000.0,150000.0,RUB
99,"Programmatic Analyst, Data Scientist for Eastern Europe"," «Procter & Gamble», Молодой специалист",Москва,95000.0,,RUB
100,Data scientist \ аналитик данных," «Почта России», Офис","Москва, Нагатинская и еще 1 ",,,
101,Senior Data Scientist в NLP лабораторию СКБ Контур, СКБ Контур,Санкт-Петербург,,,
102,Senior Data Scientist в NLP лабораторию СКБ Контур, СКБ Контур,Иннополис,,,
103,"Senior Data scientist (NLP, чат бот)", Сбербанк для экспертов,Москва,,,
104,Artificial Intelligence and Data Analytics Scientist, Aramco Innovations,"Москва, Ломоносовский проспект",,,
105,Аналитик/Data Scientist, BORK,Москва,,,
106,Middle data scientist, oneFactor,Москва,,,
107,Data Scientist, МФИ Софт,Нижний Новгород,,,
108,Data Scientist / Machine Learning Engineer,ООО АЛИБАБА.КОМ (РУ),Москва,,,
109,Преподаватель курса Анализ данных на Python, Nordic IT School,"Москва, Комсомольская и еще 2 ",,,
110,Senior Data Scientist, Spice Agency,Москва,,,
111,Специалист по обработке и анализу данных (Data Scientist), ELMA,Ижевск,100000.0,,RUB
112,Data Scientist,ТОО Business and Technology Services,Нур-Султан,,,
113,Data Scientist, Align Technology,"Москва, Тульская",,,
114,Data Scientist,АО Фармасинтез,Москва,100000.0,,RUB
115,Data scientist, Сбербанк для экспертов,Екатеринбург,,,
116,Data scientist (Нижний Новгород), ANCOR FinTech,Краснодар,,,
117,Data Scientist (Marketing Research & Analytics), JetBrains,"Санкт-Петербург, Новокрестовская и еще 1 ",,,
118,Junior Data Scientist," EPAM Systems, Inc.",Нижний Новгород,,,
119,Data scientist, Авито,Москва,,,
120,Senior Nutrition Scientist (Russia & BUCCA),ООО PepsiCo,"Москва, Сокол",,,
121,Data Scientist,ООО Расберри Ру,Нижний Новгород,,,
122,Senior Data Scientist, Сбербанк для экспертов,Екатеринбург,,,
123,Data scientist / quant analyst, Recruitment Boutique S.M.Art,Москва,,,
124,Python developer (Data Engineer), Admitad,"Москва, Дмитровская",,,
125,Исследователь данных (Data Scientist), IBS,Санкт-Петербург,,,
126,Data Scientist (Старший аудитор), Сбербанк для экспертов,Москва,,,
127,Data Scientist/Аналитик Data Science, Social Discovery Ventures,"Москва, Динамо",,,
128,Специалист по анализу данных (Data Scientist) г. Сочи, Отраслевой центр разработок и внедрения информационных систем / ОЦРВ,Нижний Новгород,110000.0,150000.0,RUB
129,Специалист по анализу данных (Data Scientist) г. Сочи, Отраслевой центр разработок и внедрения информационных систем / ОЦРВ,Казань,110000.0,150000.0,RUB
130,Data Scientist,АО Рамакс Интернейшнл,"Москва, Павелецкая и еще 2 ",,,
131,Специалист по анализу данных (Data Scientist) г. Сочи, Отраслевой центр разработок и внедрения информационных систем / ОЦРВ,Краснодар,110000.0,150000.0,RUB
132,Специалист по анализу данных (Data Scientist) г. Сочи, Отраслевой центр разработок и внедрения информационных систем / ОЦРВ,Новосибирск,110000.0,150000.0,RUB
133,Специалист по анализу данных (Data Scientist) г. Сочи, Отраслевой центр разработок и внедрения информационных систем / ОЦРВ,Москва,110000.0,150000.0,RUB
134,Специалист по анализу данных (Data Scientist) г. Сочи, Отраслевой центр разработок и внедрения информационных систем / ОЦРВ,Екатеринбург,110000.0,150000.0,RUB
135,Специалист по анализу данных (Data Scientist) г. Сочи, Отраслевой центр разработок и внедрения информационных систем / ОЦРВ,Санкт-Петербург,110000.0,150000.0,RUB
136,Data scientist,ООО Специальный Технологический Центр,Санкт-Петербург,,,
137,Data Scientist, Сбербанк для экспертов,Пермь,,,
138,"Data scientist (ML разработчик, python)", Mindbox,"Москва, Белорусская и еще 1 ",140000.0,170000.0,RUB
139,Data scientist,ООО Тувэтрейд Технолоджи,"Москва, Новокузнецкая",,,
140,Data Scientist, Кадровое Агентство Уникальных Специалистов,"Москва, Технопарк",150000.0,,RUB
141,Data Scientist( NLP), Сбербанк для экспертов,Москва,,,
142,Исследователь в области машинного обучения и анализа данных, Университет ИТМО,"Санкт-Петербург, Василеостровская",100000.0,,RUB
143,Ведущий исследователь данных (NLP), Сбербанк для экспертов,Москва,,,
144,Data engineer, Lamoda,Москва,,,
145,Geo and Petrophysical Instrumentation Scientist, Aramco Innovations,"Москва, Ломоносовский проспект",,,
146,Senior Data Scientist в NLP лабораторию СКБ Контур, СКБ Контур,Москва,,,
147,Ведущий data scientist, Деловые Линии,"Санкт-Петербург, Звёздная и еще 2 ",,,
148,"Data scientist (ML-разработчик, python)", Star-staff,"Москва, Савеловская",150000.0,,RUB
149,Senior Data Scientist,АО Рамакс Интернейшнл,"Москва, Павелецкая и еще 2 ",,,
150,Junior Data Scientist (математик-программист), Nicotech International,"Москва, Свиблово",,,
151,Специалист по машинному обучению/Data Scientist (NLP), Университет ИТМО,"Санкт-Петербург, Василеостровская",,,
152,Data scientist,"ПАО МегаФон, IT",Екатеринбург,,,
153,Data Scientist, Сбербанк для экспертов,Санкт-Петербург,,,
154,Data Scientist/Data Statistician,АО Citibank,Москва,,,
155,"Data Scientist, Voice Recognition (Маруся)"," Mail.Ru Group, Другое",Москва,,,
156,R&D Senior Scientist (Discovery & Applications),ООО PepsiCo,"Москва, Сокол",,,
157,Data Scientist (Дивизион `Забота о клиентах` ), Сбербанк для экспертов,Москва,,,
158,Senior Data Scientist, Леруа Мерлен. Центральный офис,"Москва, Шаболовская",,,
159,Data Scientist отдела аудита информационных технологий, Сбербанк для экспертов,Санкт-Петербург,,,
160,Исследователь данных (Data Scientist), IBS,Нижний Новгород,,,
161,Data Scientist,ООО Агентство ПРОФИ,Сочи,150000.0,,RUB
162,Senior Data scientist, ANCOR FinTech,Нижний Новгород,,,
163,Deep Learning Scientist (Neural NLP/TTS/ASR),АО РБ Текнолоджи,"Москва, Парк культуры",,,
