,position,company,city,compensation_min,compensation_max,compensation_currency
79,Data Scientist (NLP), Платформа ОФД,"Москва, Спортивная и еще 1 ",250000.0,,RUB
80,Аналитик / Data scientist, Dentsu Aegis Network Russia,"Москва, Улица 1905 года",,,
81,Medical Advisor (temporary contract), Pfizer,Москва,,,
82,Data Scientist (FinTech),"ПАО «МТС»,IT",Москва,,,
83,Junior / Middle Data Analyst," FOZZY GROUP, Корпорация",Киев,,,
84,Big Data Engineer, Saber Interactive,Санкт-Петербург,,,
85,Специалист Oracle PL/SQL,ООО ГЕТСИЭРЭМ,"Москва, Римская и еще 1 ",160000.0,200000.0,RUB
86,Data Scientist," МАГНИТ, Розничная сеть",Краснодар,,,
87,Data Scientist, Сбербанк для экспертов,Москва,,,
88,NLP engineer / Data scientist NLP,ООО АлгоМост,"Москва, Маяковская",100000.0,250000.0,RUB
89,Data Scientist, Getintent,"Москва, Курская",,,
90,Data Scientist (г.Краснодар)," МАГНИТ, Розничная сеть",Санкт-Петербург,,,
91,Data scientist/ Директор Центр больших данных и моделирования, Банк ВТБ (ПАО),"Москва, Выставочная",,,
92,Инженер-аналитик по машинному обучению (Data Scientist),ООО Фабрика Цифровой Трансформации,Москва,,,
93,Middle/ Senior Data Scientist (NLP), ЦРТ | Группа компаний,"Санкт-Петербург, Выборгская",,,
94,Senior Data Scientist,ООО ЦИФРА,"Москва, Шаболовская",,,
95,Middle/ Senior Data scientist (speech recognition), ЦРТ | Группа компаний,Санкт-Петербург,,,
96,Junior Data Scientist, Plarium,Краснодар,,,
97,Data Scientist,ООО Лайфтех,Минск,,,
98,Data Scientist (г.Краснодар)," МАГНИТ, Розничная сеть",Ростов-на-Дону,,,
99,Data Scientist, Wrike,Санкт-Петербург,,,
100,Data Science, Grid Dynamics,Санкт-Петербург,,,
101,Algorithm Scientist,ООО Huawei Ukraine / Хуавей Україна,Киев,,,
102,Data Scientist (г.Краснодар)," МАГНИТ, Розничная сеть",Екатеринбург,,,
103,Machine Learning/Data Scientist Engineer, Sidenis,"Санкт-Петербург, Московская",,,
104,Data Scientist, ЛАНИТ-ТЕХНОЛОГИИ,Екатеринбург,,,
105,Data Scientist (г.Краснодар)," МАГНИТ, Розничная сеть",Иннополис,,,
106,BI Analyst/Аналитик Данных, Click,"Санкт-Петербург, Петроградская",,,
107,Senior Go-to-Market Data Analyst, Miro (экс-RealtimeBoard),Пермь,,,
108,Data Scientist, Сибур,Нижний Новгород,,,
109,"Data Scientist в R&D центр в Сочи (временные ряды, классические методы машинного обучения)", ГК «ВИЗАВИ Консалт»,Москва,110000.0,130000.0,RUB
110,Data scientist, Сибур,Томск,,,
111,Senior Data Scientist, ЛАНИТ-ТЕХНОЛОГИИ,Москва,,,
112,R&D Analyst/Data scientist, IPONWEB Ltd (UK),Москва,,,
113,Data Scientist, Северсталь. Управляющая компания,"Москва, Войковская",,,
114,Data Scientist (анализ контента), i-FREE,Санкт-Петербург,,,
115,Data Scientist sas SberNBA Кредитные карты, Сбербанк для экспертов,Москва,,,
116,Senior Backend Developer/Data Scientist в Команду Performance Advertising, ВКонтакте,Санкт-Петербург,,,
117,Data Scientist," МАГНИТ, Розничная сеть",Москва,,,
118,Ведущий аналитик данных (Senior Data Scientist),ООО Гудфокаст,"Москва, Калужская",,,
119,Senior Data Science Engineer, Wrike,Санкт-Петербург,,,
120,Data Scientist, JetBrains,"Москва, Белорусская",170000.0,,RUB
121,Data Scientist (клиентская аналитика),"ПАО МегаФон, Digital",Москва,,,
122,Старший аналитик/Data Scientist в продуктовую аналитику," Mail.Ru Group, E-commerce",Москва,,,
123,Инженер по обработке данных / Data Engineer, Сбербанк для руководителей,Москва,,,
124,Data Scientist, Сибур,Москва,,,
125,Аналитик данных (SQL), Сбербанк для экспертов,Санкт-Петербург,170000.0,,RUB
126,Аналитик-разработчик (Data Scientist),ООО Джой Колс Групп,Москва,,,
127,"Стажер/Специалист (Data Scientist, Группа улучшения бизнес-технологии и ИТ)", EY (Эрнст энд Янг),"Москва, Павелецкая",,,
128,Программист-математик (инженер),ЗАО Градиент,Казань,,,
129,ML-инженер / Data Scientist, Интерсвязь,Челябинск,35000.0,80000.0,RUB
130,Аналитик SQL / Data Scientist, АльфаСтрахование,"Москва, Шаболовская",,,
131,Data Scientist, OZON.ru Разработка,Москва,,,
132,Data Scientist/Математик-программист, Ай-Теко (I-Teco),Москва,,,
133,Data Scientist (gamedev), Panoramik,"Санкт-Петербург, Василеостровская и еще 1 ",,,
134,Эксперт аналитического центра / Data scientist, Сибирская генерирующая Компания УК,Новосибирск,100000.0,,RUB
135,Специалист по обработке и анализу данных (Data Scientist), ELMA,Киров,100000.0,,RUB
136,Junior Data scientist (Департамент внутреннего аудита)," «РОСБАНК, Societe Generale Group», с опытом работы","Москва, Комсомольская и еще 2 ",,,
137,Data scientist, КОМПЛИТ,"Санкт-Петербург, Старая Деревня",,,
138,Специалист по машинному обучению / Data Scientist (FinTech), Университет ИТМО,"Санкт-Петербург, Василеостровская",75000.0,,RUB
139,Data scientist (SAS), Сбербанк для экспертов,Москва,,,
140,Аналитик данных (Data Scientist),ООО Форпост,Москва,,,
141,Senior Data Scientist в NLP лабораторию СКБ Контур, СКБ Контур,Екатеринбург,,,
142,Senior/Middle Data Scientist,"АО Ренессанс здоровье, Страховая компания","Москва, Пролетарская",,,
143,Data Scientist / Machine Learning Developer, Peller.Tech Inc,Москва,,,
144,Разработчик-исследователь в области искусственного интеллекта / Data Scientist, Университет ИТМО,"Санкт-Петербург, Василеостровская",80000.0,,RUB
145,Data Analyst / Scientist, Genesis,Киев,,,
146,Data Scientist (Middle), Сбербанк для экспертов,Екатеринбург,,,
147,Data Scientist,АО Рамакс Интернейшнл,"Москва, Павелецкая и еще 2 ",,,
148,Python Data Scientist, Neuro.net,Нижний Новгород,100000.0,150000.0,RUB
149,"Programmatic Analyst, Data Scientist for Eastern Europe"," «Procter & Gamble», Молодой специалист",Москва,95000.0,,RUB
150,Data scientist \ аналитик данных," «Почта России», Офис","Москва, Нагатинская и еще 1 ",,,
151,Senior Data Scientist в NLP лабораторию СКБ Контур, СКБ Контур,Санкт-Петербург,,,
152,Senior Data Scientist в NLP лабораторию СКБ Контур, СКБ Контур,Иннополис,,,
153,Аналитик/Data Scientist, BORK,Москва,,,
154,Artificial Intelligence and Data Analytics Scientist, Aramco Innovations,"Москва, Ломоносовский проспект",,,
155,"Senior Data scientist (NLP, чат бот)", Сбербанк для экспертов,Москва,,,
156,Senior data scientist, Билайн,Москва,,,
157,Data Scientist / Machine Learning Engineer ( на Кипр ), Wisebits,Москва,,,
158,Data Scientist / Data Engineer (Recommendations), Авито,Москва,,,
159,Аналитик-математик (Data scientist),ООО БиАйЭй-Технолоджиз,"Санкт-Петербург, Фрунзенская",,,
160,Senior Data Scientist, Nielsen,"Москва, Тушинская",,,
161,Data Scientist,ПАО МТС Банк,"Москва, Технопарк",,,
162,Стажер Data Scientist, Сибур,Томск,,,
163,Data Scientist / Machine Learning Engineer ( на Кипр ), Wisebits,Санкт-Петербург,,,
164,Data Scientist,"ПАО МегаФон, IT",Нижний Новгород,,,
165,Lead Data Engineer/Data Scientist, Сбербанк для экспертов,Санкт-Петербург,,,
166,Senior Data Scientist (Академгородок),ООО ЭЛСИ ГРУПП,Новосибирск,,,
167,Data Science, Grid Dynamics,Казань,,,
168,Computer Vision Data Scientist,ООО ЛокоТех,Москва,,,
169,Менеджер по аналитике клиентских данных (Data analyst/ Data scientist),ООО МОНЭКС ТРЕЙДИНГ,"Москва, Савеловская",,,
170,Data Scientist (Computer Vision), Тинькофф,"Москва, Водный стадион",,,
171,Data Scientist / ML Engineer, Polymedia,"Москва, Профсоюзная и еще 1 ",,,
172,Data Engineer, Сбербанк для экспертов,Санкт-Петербург,,,
173,Big Data developer (Data Science platform)," Mail.Ru Group, Социальные сети, Одноклассники","Москва, Аэропорт",,,
