,position,company,city,compensation_min,compensation_max,compensation_currency
73,Системный аналитик / Ведущий системный администратор,СДН (SDN),Санкт-Петербург,81000.0,,RUB
74,Аналитик-разработчик C#,Деловые Линии,"Санкт-Петербург,Московская",,,
75,Бизнес-аналитик отдела бизнес-анализа,ФГБОУ Тольяттинский государственный университет,Тольятти,30000.0,,RUB
76,Консультант-аналитик 1С,"НПФ ""Промавтоматика""",Рязань,,,
77,Аналитик-разработчик 1С (ERP: направление Логистика),Компания SIMPLE,"Москва,Полежаевская, Хорошёвская и ещё 1 станция",,,
78,Аналитик отдела продаж,РосТурПласт,Коломна,50000.0,,RUB
79,Консультант-аналитик 1С,Бизнес Консалт,Москва,120000.0,150000.0,RUB
80,Аналитик (HR),Дикси Групп,Москва,52200.0,57420.0,RUB
81,Аналитик базы данных (ведущий специалист),Правительство Москвы,"Москва,Полежаевская",53609.0,,RUB
82,Бизнес-аналитик 1С,Hoff,Клин,,,
83,Аналитик,Евросеть,Подольск,,,
84,Инвестиционный аналитик,МГТС,Москва,,,
85,Специалист по планированию межфилиальных перемещений / Аналитик,PepsiCo,Владивосток,,,
86,Экономист-аналитик,ППО ЭВТ имени В. А. Ревунова,Пенза,30000.0,,RUB
87,Аналитик,"ПКФ ""Экс-Форма""",Саратов,,,
88,Аналитик бизнес-процессов,Otto Group Russia,Тверь,,,
89,Аналитик отдела продаж (отопительное оборудование),Анкор,Москва,,,
90,Аналитик,НИИОЗММ ДЗМ,Москва,,,
91,Координатор-аналитик,Лукашов Д. В. (Капитан),Владимир,25000.0,,RUB
92,Интеграционный аналитик (страхование),Кадровое агентство Юнити,Москва,160000.0,,RUB
93,Системный аналитик 1С (прямое страхование),Кадровое агентство Юнити,Москва,160000.0,,RUB
94,Экономист-аналитик,Контрольно-ревизионное управление,Екатеринбург,45000.0,50000.0,RUB
95,Аналитик отдела продаж,Миллениум,Ростов-на-Дону,30000.0,,RUB
96,Аналитик / Социолог / Маркетолог,ИНФОЛайн,"Санкт-Петербург,Приморская, Василеостровская",30000.0,,RUB
97,Аналитик по электронной торговле,"Глобус, Сеть гипермаркетов",Москва,,,
98,Кредитный аналитик (ГКДЗ),МЕГАПОЛИС,"Самара,Российская",23500.0,,RUB
99,Data scientist-Аналитик,НТИМИ,Москва,,,
100,Маркетолог-аналитик,Тараненко Игорь Витальевич,Старый Оскол,35000.0,,RUB
101,Помощник / Ассистент менеджера-аналитика,Леонардо,Москва,41000.0,43000.0,RUB
102,"Маркетолог, аналитик, менеджер по рекламе",ПРИМА,"Москва,Ховрино",60000.0,70000.0,RUB
103,Аналитик-координатор отдела продаж,Эником Невада групп,Хабаровск,,,
104,Маркетолог-аналитик,Радиостанция Серебряный дождь,"Москва,Динамо",,,
105,Менеджер-аналитик,«Группа ГУТА»,Москва,,,
106,Аналитик-методолог по торговым и производственным процессам,Металлокомплект-М,"Москва,Калужская",,,
107,Помощник руководителя (с функцией аналитика),Ангара-Реактив,Шушенское,100000.0,,RUB
108,Консультант-аналитик 1С,ТрастИнвест,"Москва,Нахимовский проспект",,,
109,Аналитик,«Группа ГУТА»,Москва,,,
110,Аналитик-программист,Сервис-Газификация,Екатеринбург,,,
111,Экономист-аналитик,Русский Аппетит,Воронеж,,,
112,Системный аналитик / Технический писатель,Группа Гута,Москва,90000.0,,RUB
113,Ведущий аналитик по исследованию рынков,Группа компаний IEK,"Москва,Царицыно, Бульвар Дмитрия Донского",82000.0,99000.0,RUB
114,Аналитик,Челны Логистик,Набережные Челны,20000.0,,RUB
115,Аналитик (департамент Логистики),Эником Невада групп,Хабаровск,,,
116,Бизнес-аналитик 1С,Диамед,Королев,,,
117,Аналитик по сопровождению бонусной программы,"Группа компаний ""Хабаровская фармация""",Хабаровск,65000.0,,RUB
118,Ведущий экономист-аналитик,Пензадизельмаш,Пенза,,,
119,Ведущий аналитик 1С:ERP,ВИЗАВИ Консалт,"Санкт-Петербург,Гостиный Двор",90000.0,120000.0,RUB
120,Системный аналитик 1С (стажер),"Апогей, 1С для госучреждений",Красноярск,25000.0,60000.0,RUB
121,Маркетолог-аналитик,Кондитерский мир,Иркутск,,,
122,Экономист-аналитик,Джей Джи Си Эвергрин,Хабаровск,45000.0,,RUB
123,Химик-аналитик,"Научно-внедренческое предприятие ""Астрафарм""","Москва,Калужская",,,
124,Аналитик-тестировщик ПО / QA engineer,Кадровая Служба 24,Казань,45000.0,,RUB
125,Экономист-аналитик,АВВА РУС,"Москва,Крылатское",50000.0,,RUB
126,Аналитик данных (Data analyst),Стаффмикс,"Москва,Сухаревская",150000.0,,RUB
127,Маркетолог-аналитик,Национальная электротехническая компания Морозова,Москва,60000.0,,RUB
128,Ведущий аналитик 1С,АвтоГЕРМЕС,"Москва,Выхино",220000.0,,RUB
129,Финансовый аналитик,Русклимат,"Москва,Водный стадион",90000.0,,RUB
130,Младший аналитик отдела планирования перевозок,ПИТЕРАВТО,"Санкт-Петербург,Площадь Ленина, Ладожская",35000.0,,RUB
131,Аналитик технической поддержки 1С,ГК Дамате,Пенза,50000.0,,RUB
132,Аналитик (в IT-отдел),Стаффмикс,"Москва,Университет",50000.0,,RUB
133,Аналитик проблем инвестиционных проектов,СТРАТЕГИЯ,Москва,,,
134,Логист-аналитик,Арт и Дизайн,Калуга,40000.0,,RUB
135,Аналитик 1С (Университет),ФГБУ ВПО «Российский государственный социальный университет»,Москва,80000.0,100000.0,RUB
136,Аналитик в отдел собственных разработок,Мария-РА,Барнаул,40000.0,,RUB
137,Аналитик,АБИ Продакт,Владимир,25000.0,,RUB
138,Аналитик 1С,Кадровый Центр на Сокольнической Площади,Москва,76000.0,,RUB
139,Экономист-аналитик,Reference Point,Севастополь,,,
140,Финансовый аналитик,Синема Стар,Москва,,,
141,Системный аналитик,Фабрикант,Москва,,,
142,Аналитик / Специалист по статистике (медицинская статистика),Кардиостар,"Санкт-Петербург,Площадь Ленина, Ладожская",72000.0,,RUB
143,Складской технолог (Аналитик WMS),Леонардо,"Москва,Авиамоторная",80000.0,,RUB
144,Аналитик,Фреш Ритейл Групп,"Москва,Курская, Бауманская",60000.0,,RUB
145,Маркетолог-аналитик,Современные медицинские технологии,Санкт-Петербург,,,
146,"Химик-аналитик, инженер-химик",ЛенРеактив,"Санкт-Петербург,Звёздная, Московская",39150.0,,RUB
147,Старший веб-аналитик,"САМСОН, ГРУППА КОМПАНИЙ",Воронеж,80000.0,,RUB
148,Химик-аналитик,"ООО ""ИЦЛС ""Биотехнология""","Москва,Домодедовская",50000.0,,RUB
149,Аналитик / Бизнес-контролер / Финансовый контролер,"Сеть гипермаркетов ""Глобус""",Софрино,,,
150,Аналитик отдела маркетинга,Киномакс,"Москва,Фили, Багратионовская и ещё 1 станция",,,
151,"Экономист, экономист-аналитик",Агропромышленный Холдинг «Охотно»,Брянск,30000.0,,RUB
152,Аналитик 1С,"ГК ""Business Line""",Ульяновск,50000.0,,RUB
153,Химик-аналитик,Гипросинтез,Волгоград,40000.0,,RUB
154,Аналитик-консультант 1С,Лоцман Бизнес-Технологий,Владимир,,,
155,"Специалист, аналитик по кредитному риску юридических лиц","Банк ""Восточный""",Хабаровск,,,
156,Экономист-аналитик,Эником Невада групп,Хабаровск,,,
157,Системный аналитик (разработчик),Компания АЮСС,Хабаровск,100000.0,,RUB
158,ИТ-аналитик / IT-аналитик,Бубль-Гум,Владивосток,,,
159,Бизнес-аналитик / Аналитик бизнес-процессов,"""Бубль-Гум"" розничная сеть по продаже игрушек и товаров для детей",Владивосток,40000.0,45000.0,RUB
160,"Аналитик, младший аналитик",Совэкон,"Москва,Профсоюзная",,,
161,Системный аналитик (карточные продукты),Банк Русский Стандарт,"Москва,Преображенская площадь",90000.0,,RUB
162,Маркетолог-аналитик,Кадровая Служба 24,Тюмень,30000.0,40000.0,RUB
163,Системный аналитик,ЛАНИТ,Москва,,,
164,Аналитик,РЕСО-Гарантия,"Москва,Нагатинская, Верхние Котлы",,,
165,Аналитик в отдел заработной платы,Директ Кредит,Москва,55000.0,60000.0,RUB
166,Младший консультант-аналитик продуктов оформления,Независимая лаборатория ИНВИТРО,Рязань,,,
167,Главный специалист-эксперт / Аналитик по проектам в сфере образования,"Федеральное государственное научное учреждение ""Центр информационных технологий и систем органов исполнительной власти""",Москва,60500.0,,RUB
168,Аналитик CRM-кампаний,Банк Русский Стандарт,Москва,,,
169,Аналитик,Спортмастер,Железнодорожный,,,
170,Консультант (бизнес-аналитик) отдела ИТ,Главное управление кадров Министерства обороны Российской Федерации,Москва,,,
171,"Менеджер (экономист, аналитик) по закупкам",Прометей сити,Можайск,55000.0,,RUB
172,Аналитик в IT-отдел,Оптик Сити,"Москва,Университет",50000.0,,RUB
