,position,company,city,compensation_min,compensation_max,compensation_currency
75,Помощник руководителя (с функцией аналитика),Ангара-Реактив,Шушенское,100000.0,,RUB
76,Аналитик службы безопасности (специалист по видеонаблюдению),О'КЕЙ,Москва,34000.0,41000.0,RUB
77,Финансовый аналитик,Такси «Шоколад»,"Москва,Нагатинская",,,
78,Бизнес-аналитик,Мособлгаз,Одинцово,,,
79,Аналитик,Росгосстрах,Кемерово,28000.0,,RUB
80,Консультант-аналитик 1С,ТрастИнвест,"Москва,Нахимовский проспект",,,
81,Аналитик,«Группа ГУТА»,Москва,,,
82,Менеджер-аналитик по отчетности и планированию / Отдел по работе с валовым доходом,"Магнит, Розничная сеть",Санкт-Петербург,79000.0,,RUB
83,Аналитик-программист,Сервис-Газификация,Екатеринбург,,,
84,Экономист-аналитик,Русский Аппетит,Воронеж,,,
85,Системный аналитик / Технический писатель,Группа Гута,Москва,90000.0,,RUB
86,Ведущий аналитик по исследованию рынков,Группа компаний IEK,"Москва,Царицыно, Бульвар Дмитрия Донского",82000.0,99000.0,RUB
87,Аналитик,Челны Логистик,Набережные Челны,20000.0,,RUB
88,Системный аналитик (HR-системы),О'КЕЙ,Санкт-Петербург,,,
89,Аналитик (департамент Логистики),Эником Невада групп,Хабаровск,,,
90,Бизнес-аналитик 1С,Диамед,Королев,,,
91,Аналитик по сопровождению инвестиционного процесса,МегаФон,Хабаровск,,,
92,Менеджер-аналитик интернет-магазина,Самсон-опт,Воронеж,52700.0,,RUB
93,Аналитик 1С ЗУП,ИК СИБИНТЕК,Саратов,,,
94,Товаровед-аналитик,ПРОСТОЧАЕВО,Саратов,,,
95,Аналитик по сопровождению бонусной программы,"Группа компаний ""Хабаровская фармация""",Хабаровск,65000.0,,RUB
96,Ведущий экономист-аналитик,Пензадизельмаш,Пенза,,,
97,Аналитик в отдел маркетинга,Персонал-Консалтинг Плюс,Саратов,,,
98,Ведущий аналитик 1С:ERP,ВИЗАВИ Консалт,"Санкт-Петербург,Гостиный Двор",90000.0,120000.0,RUB
99,Системный аналитик 1С (стажер),"Апогей, 1С для госучреждений",Красноярск,25000.0,60000.0,RUB
100,Маркетолог-аналитик,Кондитерский мир,Иркутск,,,
101,Экономист-аналитик,Джей Джи Си Эвергрин,Хабаровск,45000.0,,RUB
102,Аналитик отдела управления качеством,КРИТ,Ижевск,60000.0,,RUB
103,Старший кредитный аналитик,Сетелем Банк,"Москва,Савеловская",,,
104,Консультант-аналитик Axapta (Microsoft Dynamics AX 2009-логистика),,Москва,,,
105,Аналитик кассовых операций,Буквоед,"Санкт-Петербург,Площадь Ленина",35000.0,40000.0,RUB
106,Химик-аналитик,"Научно-внедренческое предприятие ""Астрафарм""","Москва,Калужская",,,
107,Системный аналитик по информационным системам,Триколор,"Санкт-Петербург,Электросила",,,
108,Аналитик-тестировщик ПО / QA engineer,Кадровая Служба 24,Казань,45000.0,,RUB
109,Экономист-аналитик,АВВА РУС,"Москва,Крылатское",50000.0,,RUB
110,Аналитик данных (Data analyst),Стаффмикс,"Москва,Сухаревская",150000.0,,RUB
111,Маркетолог-аналитик,Национальная электротехническая компания Морозова,Москва,60000.0,,RUB
112,Ведущий аналитик 1С,АвтоГЕРМЕС,"Москва,Выхино",220000.0,,RUB
113,Финансовый аналитик,Русклимат,"Москва,Водный стадион",90000.0,,RUB
114,Младший аналитик отдела планирования перевозок,ПИТЕРАВТО,"Санкт-Петербург,Площадь Ленина, Ладожская",35000.0,,RUB
115,Аналитик технической поддержки 1С,ГК Дамате,Пенза,50000.0,,RUB
116,Аналитик (в IT-отдел),Стаффмикс,"Москва,Университет",50000.0,,RUB
117,Аналитик проблем инвестиционных проектов,СТРАТЕГИЯ,Москва,,,
118,Логист-аналитик,Арт и Дизайн,Калуга,40000.0,,RUB
119,Аналитик 1С (Университет),ФГБУ ВПО «Российский государственный социальный университет»,Москва,80000.0,100000.0,RUB
120,Аналитик в отдел собственных разработок,Мария-РА,Барнаул,40000.0,,RUB
121,Аналитик 1С (УПП),Мария-РА,Барнаул,30000.0,,RUB
122,Аналитик,АБИ Продакт,Владимир,25000.0,,RUB
123,Аналитик 1С,Кадровый Центр на Сокольнической Площади,Москва,76000.0,,RUB
124,Экономист-аналитик,Reference Point,Севастополь,,,
125,Финансовый аналитик,Синема Стар,Москва,,,
126,Системный аналитик,Фабрикант,Москва,,,
127,Аналитик / Специалист по статистике (медицинская статистика),Кардиостар,"Санкт-Петербург,Площадь Ленина, Ладожская",72000.0,,RUB
128,Складской технолог (Аналитик WMS),Леонардо,"Москва,Авиамоторная",80000.0,,RUB
129,Аналитик,Фреш Ритейл Групп,"Москва,Курская, Бауманская",60000.0,,RUB
130,Маркетолог-аналитик,Современные медицинские технологии,Санкт-Петербург,,,
131,"Химик-аналитик, инженер-химик",ЛенРеактив,"Санкт-Петербург,Звёздная, Московская",39150.0,,RUB
132,Старший веб-аналитик,"САМСОН, ГРУППА КОМПАНИЙ",Воронеж,80000.0,,RUB
133,Химик-аналитик,"ООО ""ИЦЛС ""Биотехнология""","Москва,Домодедовская",50000.0,,RUB
134,Аналитик / Бизнес-контролер / Финансовый контролер,"Сеть гипермаркетов ""Глобус""",Софрино,,,
135,Аналитик отдела маркетинга,Киномакс,"Москва,Фили, Багратионовская и ещё 1 станция",,,
136,"Экономист, экономист-аналитик",Агропромышленный Холдинг «Охотно»,Брянск,30000.0,,RUB
137,Аналитик 1С,"ГК ""Business Line""",Ульяновск,50000.0,,RUB
138,Химик-аналитик,Гипросинтез,Волгоград,40000.0,,RUB
